Occupation,Substitution,
Business / Test Analyst, IT - Systems Analyst,
Business Systems Analyst, IT - Systems Analyst,
0,*Missing*,
(blank),*Missing*,
abc,*Missing*,
fdsdf,*Missing*,
ouh,*Missing*,
please specify,*Missing*,
Please specify title Manager for Regulat,*Missing*,
Procrastinator,*Missing*,
s,*Missing*,
University Staff,Academic - Staff,
education administration,Academic administration,
College Administrator,Academic Administrator,
Director of Academic Affairs,Academic Affairs - Director,
Education Specialist,Academic Specialist,
Accountant,Accountant,
Accounting,Accountant,
Accounting Assistant,Accountant,
Accounts Payable,Accountant,
Accounts Payable / Fleet Manager,Accountant,
Accounting Manager,Accountant,
acounting analyst,Accountant,
Actress,Actress,
acupuncturist,acupuncturist,
admin assist,Admin Assistant,
Administration Assistant,Admin Assistant,
Administrative Asistant for Jewelry Stor,Admin Assistant,
Assistant,Admin Assistant,
secretary,Admin Assistant,
Administrative Officer,Administrator,
Administrator,Administrator,
adult care,adult care,
Agronomist,Agronomist,
airport ground handler,airport ground handler,
anthropologist,anthropologist,
Antique Dealer,Antique Dealer,
Architect,Architect,
Art Director,Art Director,
Artist,Artist,
Artist/ designer/builder,Artist,
Artist/administrator,Artist,
artist/designer/homemaker,Artist,
jewelry artist,Artist - jewelry,
visual artist,Artist - Visual,
Astrohysicist,Astrophysicist,
advocate,Attorney,
Assistant District Attorney,Attorney,
assistant general counsel,Attorney,
associate at law firm,Attorney,
Attorney,Attorney,
Attorney – Associate,Attorney,
Attorney - self employed for 2 years – f,Attorney,
Attorney-self employed,Attorney,
In-house Legal Counsel,Attorney,
Editor Attorney,Attorney,
First VP & Associate General Counsel,Attorney,
Aviation Specialist,Aviation Specialist,
banker,Banking,
Investment Assistant,Banking - Investment Assistant,
Associate / investment banking,Banking - Investment associate,
investment banker,Banking - Investment banker,
Investment Counsel,Banking - Investment Counselor,
Bank Teller,Banking - teller,
Bartender,Bartender,
Biologist,Biologist,
free lance bookkeeper,Bookkeeper,
bookkeeper/ actor,Bookkeeper,Use primary only
bookkeeper,Bookkeeper,
bookseller,Bookseller,
Braillist,Braillist,
Budget analyst,Budget analyst,
BUSINESS CONSULTA,Business consultant,
business consultant,Business consultant,
Director of business development,Business Development - Director,
Business Owner,Business Owner / Self Employed,
businesswoman,Business Owner / Self Employed,
Co-Proprietor,Business Owner / Self Employed,
entrepreneur,Business Owner / Self Employed,
Entrepreneur & Consultant,Business Owner / Self Employed,
Owner,Business Owner / Self Employed,
Self Employed,Business Owner / Self Employed,
self employeed,Business Owner / Self Employed,
buyer,Buyer,
Online Media Buyer,Buyer - Online Media,
CAD operator,CAD Technician,
CAD Technician,CAD Technician,
Camera Coordinator,Camera Coordinator,
Case Manager,Case Manager,
Organic Grocery Store Cashier/shift lead,Cashier,
C E O/ M D,CEO,
ceo,CEO,
president/CEO,CEO,
Chief Financial Officer,CFO,
chairman of the board,Chairman,
chiropractor,chiropractor,
clinical psychologist,clinical psychologist,
Clinical Research Assistant,Clinical Research Assistant,
Clinical Trial Assistant,Clinical Trial Assistant,
Collection management specialist,Collections,
Communications,Communications,
Communications & Publishing,Communications & Publishing,
laborer (construction),Construction ,
Contsuruction Management,Construction - Management,
consultant,Consultant,
senior consultant,Consultant,
Consultant and entrepreneur (small busin,Consultant,
Director of Contract Management,Contract Management - Director,
Proposal Director,Contract/Proposal - Director,
copy supervisor,copy supervisor,
Copy Writer,Copy Writer,
Corporate instructor,Corporate Trainer,
Corporate Trainer,Corporate Trainer,
Corrections,Corrections Officer,
Juvenile Corrections Officer,Corrections Officer - Juvenile,
Counselor,Counselor,
academic/career coach & admin assistant,Counselor - career Coach,
Career Placement Associate,Counselor - career Placement,
Licensed Professional Counselor,Counselor - Professional,
School Counselor,Counselor - School,
Creative Consultant,Creative Consultant,
Creative Director,Creative Director,
Customer Service,Customer Service,
Customer Service at Domino's Pizza,Customer Service,
Dance teacher,Dance teacher,
dentist,Dentist,
designer,Designer,
Designer,Designer,
Dietitian,Dietitian,
Clinical Dietitian,Dietitian - Clinical,
Dish Washer,Dishwasher,
Night Dispatch Supervisor (it's just a,Dispatch,
chauffeur,Driver,
Driver,Driver,
Sr. Drug Safety Associate,Drug Safety,
Ecology technician,Ecology technician,
Economist,Economist,
Economy,Economist,
Editor,Editor,
Free lance editor and tutor--in theory,Editor - Freelance,
Special Projects Editor,Editor - Special Projects,
election services,election services,
Electrical Technician,Electrician,
electronic technician,electronic technician,
EMT,EMT,
engineer,Engineer,
audio engineer,Engineer - Audio,
Chiefe Development Engineer,Engineer - Development,
Mechanical Engineer,Engineer - mechanical,
Process Engineer,Engineer - Process,
enologist,enologist,
entertainer,Entertainer,
Manager - Analytical and Environmental S,Environmental - Analytical Manager,
environmental education non profit direc,Environmental - Education/Non Profit,
EHS Manager,Environmental - EHS Manager,
Environmental Analyst,Environmental Analyst,
Environmental Engineer,Environmental Engineer,
Environmental Senior Specialist,Environmental Specialist,
Facilities Management,Facilities Management,
Farm Manager,Farm Manager,
Casting Director,Film - casting Director,
film editor,Film - Editor,
Film maker,Film - Maker,
Film Industry/Miscelanious,Film - Other,
Financial Advisor,Financial Advisor,
financial analyst,financial analyst,
Financial Consultant,Financial Consultant,
Controller,Financial Controller,
Financial Controller,Financial Controller,
financial officer / small career-trainin,financial officer,
financial risk manager,financial risk manager,
Fitness Instructor,Fitness Instructor,
Fitness Assistant / wellness mentor / ca,Fitness Instructor - Wellness mentor,
Food Department Director,Food Department Director,
Food Service Supervisor,Food Service - Supervisor,
Diplomat,Foreign Affairs,
Foreign Affairs Specialist,Foreign Affairs,
Framer/Sales Associate,Framer,
"furniture maker, home restorer",Furniture maker,
Geologist,Geologist,
Geophysicist,Geophysicist,
Graduate Assistant,Graduate Assistant,
Graduate Research Assistant,Graduate Assistant - Research,
Senior Grant Officer,Grant officer,
Grants Administrator,Grants Administrator,
Graphic Designer,Graphic Designer,
Page Designer for a newspaper,Graphic Designer,
Produce Associate,Grocery Store - produce associate,
Grocery Store Salesman,Grocery Store Salesman,
Groundskeeper,Groundskeeper,
health care,Healthcare,
Healthcare Consultant,Healthcare - Consultant,
Full-Time Mother / Part-Time Editor,home maker,
home maker,home maker,
houswife,home maker,
Parent Educator/Supervisor,home maker,
#Kids Kids variable,home maker,
Stay-at-home dad,home-maker,
Hotel Desk Clerk,Hospitality - Desk Clerk,
Housekeeping,Hospitality - Housekeeping,
innkeeper,Hospitality - innkeeper,
Senior Human Resources Consultant,HR Consultant,
HR generalist,HR generalist,
Human Resource Manager,HR Manager,
Human Resource Manger,HR Manager,
HVAC Tech,HVAC Tech,
Insurance,Insurance,
sales insurance,Insurance - Sales,
Insurance Agent,Insurance Agent,
insurance broker's assistant,insurance broker's assistant,
Insurance Claims Supervisor,Insurance Claims Supervisor,
Insurance Coordinator,Insurance Coordinator,
Investigative Specialist,Investigative Specialist,
IT,IT,
Information technology,IT,
information assisstant,IT - Assistant,
IT Assistant,IT - Assistant,
Deputy Chieif Information Officer,IT - CIO - Deputy,
Technology (CTO),IT - CTO,
Director / information technology,IT - Director,
IT director,IT - Director,
Data Warehouse Engineer,IT - DW Engineer,
Information Management,IT - Manager,
manager IT,IT - Manager,
IT Manager,IT - Manager,
Tech Support,IT - Support,
Technical support rep,IT - Support,
Tech Analyst/GIS,IT - tech analyst/GIS,
ISTraining Coordinator,IT - Training Coordinator,
IT admin,IT Administrator,
IT Administrator,IT Administrator,
IT analyst,IT analyst,
Computer Consultant,IT Consultant,
Information Technology Consultant,IT Consultant,
IT consultant,IT Consultant,
IT Engineer,IT Engineer,
IT security consultant,IT security consultant,
Information Developer,IT Software engineer,
Software analyst,IT Software engineer,
Software Developer,IT Software engineer,
Software engineer,IT Software engineer,
Software Pro,IT Software engineer,
Developer,IT Software engineer,
Programmer,IT Software engineer,
Programmer Analyst,IT Software engineer,
Programmer/Developer,IT Software engineer,
Programmer/Software Analyst,IT Software engineer,
IT Specialist,IT Support Engineer,
IT Support,IT Support Engineer,
IT Support Engineer,IT Support Engineer,
IT Technician,IT Support Engineer,
IT systems administrator,IT Systems Analyst,
Computer Operator,IT Systems Analyst,
Computer Science,IT Systems Analyst,
Computer Systems Analyst,IT Systems Analyst,
Computers,IT Systems Analyst,
Senior Systems Analyst,IT Systems Analyst,
System Analyst,IT Systems Analyst,
system manager,IT Systems Analyst,
Systems Analyst,IT Systems Analyst,
Systems Programmer/Analyst,IT Systems Analyst,
Janitor,Janitor,
Journalist,Journalist,
journalist (freelance),Journalist,
Lab Services Assistant,Lab  Assistant,
Lab Director/Archeologist,Lab Director,
laboratory technician,Lab Technician,
Labor Relations Specialist,Labor Relations Specialist,
landscape designer,Landscape Designer,
Director of a language program,Language - Program Director,
Language Service Provider,Language - Service provider,
language trainer,Language - Trainer,
Legal Assistant,Legal Assistant,
Legal Assistant / Office Manager,Legal Assistant / Office Manager,
Law clerk,Legal Clerk,
Legal Secretary,Legal Secretary,
Legislation Analyst,Legislation - Analyst,
letter carrier,letter carrier,
Librarian,Librarian,
Library Assistant,Librarian,
library paraprofessional,Librarian,
Library technician,Librarian,
Life Guard,Life Guard,
Lift Ops,Lift Operator,
maintenance tech.,Maintenance technican,
Management consultant,Management consultant,
Management Consultant & Entrepreneur,Management consultant,
manufacturing,manufacturing,
mktg,Marketing,
Marketing,Marketing,
Associate director/ marketing communicat,Marketing - Communications,
marketing copywriter,marketing copywriter,
Market Analyst,Marketing Research Analyst,
Market Research Analyst,Marketing Research Analyst,
Massage Therapist,Massage Therapist,
Master Control Operator,Master Control Operator,
Internet & media consultant,Media & Internet - Consultant,
"Manager,Interacitve Media",Media (Interactive) - manager,
Media Consultant,Media Consultant,
Media Relations Manager,Media Relations Manager,
media relations/science writing,media relations/science writing,
Medical,Medical,
Medical / Public Health Educator,Medical / Public Health Educator,
Medical Laboratory,Medical Laboratory,
Medical Practitioner,Medical Practitioner,
medical sonographer,medical sonographer,
medical transcriptionist,medical transcriptionist,
volunteer mental health worker,Mental Health worker,
Mentor/Special Events intern,Mentor/Special Events intern,
Pharmaceutical Merchandiser,Merchandiser - Pharmaceutical,
Military,Military,
Mover,Mover,
Multimedia Developer,Multimedia Developer,
museum docent,museum docent,
Freelance musician / part time EMT / pri,Musician,
Musician,Musician,
musician/student/teacher,Musician,
Nanny,Nanny,
Nanny and student,Nanny,
Network Engineer,Network Engineer,
Network Services Engineer,Network Engineer,
newspaper carrier,Newspaper delivery,
Director of non-profit organization,Non Profit - Director,
Dept. Director (Non-profit),Non Profit - Director,
Non-profit Consultant,Non-profit Consultant,
Nurse,Nurse,
RN,Nurse - RN,
Certified Nurse's Assistant,Nurse Assistant,
nursing home,Nursing,
office,Office Admin,
Office Admin,Office Admin,
fulltime office assistant,Office Assistant,
Office Manager,Office Manager,
Office Manager / Accountant,Office Manager,
Office Services Manager,Office Manager,
coordinatore operativo,Operations - Coordinator,
Director Operations,Operations - Director,
operations manager,Operations - manager,
Production Operations Support Analyst,Operations - Production Support Analyst,
Head - Operations & QA,Operations & QA,
Professional Organizer,Organizer - professional,
"Clutter clearer, video editor, caterer",Organizer - professional,
Paralegal,Paralegal,
Pastor ; Life coach clergy,Pastor,
pathology,Pathologist,
PCA,PCA,
PCA for a quadrapilegic and a PCA for a,PCA - Quadriplegic,
Self-Employed / personal trainer / stren,Personal Trainer,
Pharmacist,Pharmacist,
pharmacy tech.,Pharmacist,
self-employed Photographer,Photographer,
photo profucer,Photographer,
Physical Science Technician,Physical Science Technician,
owner - private practice physical therap,Physical Therapist,
Doctor; Physician,Physician,
resident physician,Physician,
Epidemiologist,Physician - Epidemiologist,
physician (internist),Physician - Intern,
Post Grad Physician,Physician - Post Grad,
Doctor Research,Physician - Research,Ambiguous
Physicist,Physicist,
Physiotherapst,Physiotherapst,
Campus Planner,Planner - Campus,
land use planner,Planner - land use,
Town Planner,Planner - Town,
Urban Planner/Economic Development Plann,Planner - Urban,
Plant Engineering Supervisor,Plant Engineering,
pro poker player / website owner,Poker player,
law enforcement,Police Officer,
Senior Policy Advisor,Policy Advisor,
policy analyst,Policy Analyst,
Corporation President,President,
President,President,
President Nongovernmental organization,President,
Press Officer,Press Officer,
catholic priest/ full timestudent,Priest,
Private Equity Principal,Private Equity,
Probation Supervisor,Probation officer,
Product Field Test Manager,Product Field Test Manager,
Professional Soccer Player,Professional Soccer Player,
adjunct faculty / University + communit,Professor,
assistant professor,Professor,
Asst. Prof.,Professor,
college faculty,Professor,
college professor,Professor,
Education (at a university),Professor,
lecturer,Professor,
P-T College Faculty & P-T Self-Employed,Professor,
university faculty,Professor,
Assoc. Governmental Program Analyst,Program Analyst,
Coordinator of International Programs,Program Coordinator,
Program Assistant,Program Coordinator,
Program Coordinator,Program Coordinator,
supervising program development speciali,Program Development Specialist,
Program Director,Program Director,
Program director at a non-profit organiz,Program director at a non-profit organiz,
Program Manager and Acting Director,Program Manager,
Program officer,Program Manager,
Program Manager,Program Manager,
Program Specialist,Program Specialist,
Computer Programmer,Programmer,
Senior Consultant Programmer/Analyst,Programmer - Consultant,
Vice President / program office,Programs - VP,
Freelance Project Manager,Project Manager,
Project Manager,Project Manager,
senior project manager,Project Manager,
Proofreader,Proofreader,
Psychiatrist in Private Practice,Psychiatrist,
psychologis,Psychologist,
psychotherapist,Psychotherapist,
Public Health,Public Health,
Gender/Public Health Consultant,Public Health - Consultant,
pjublic relations director,Public Relations,
pr and communications firm owner,Public Relations,
public relations,Public Relations,
Self employed Public Relations,Public Relations,
Publishing,Publishing,
Quality Manager,Quality Manager,
Quotations specialist,Quotations specialist,
Real Estate Appraiser,Real Estate Appraiser,
Real estate developer,Real Estate Developer,
new realtor,Realtor,
real estate,Realtor,
real estate agent,Realtor,
real estate broker,Realtor,
realtor,Realtor,
Receptionist,Receptionist,
Senior Records Analyst,Records Analyst,
Recreational Staff,Recreational Staff,
regulatory affairs,regulatory affairs,
selfemplyed renovator,Renovator,NGO
Traffic Reporter-Radio,Reporter - Traffic,
Research / GIS analyst,Research -  Analyst,
Research Analyst,Research -  Analyst,
Reasearch assistant,Research Assistant,
Research Assistant,Research Assistant,
Research Associate,Research Associate,
research coordinator,research coordinator,
Research intern,Research intern,
Research manager,Research manager,
Research Scholar,Research Scholar,
Research Scientist,Research Scientist,
research specialist,research specialist,
research technician,research technician,
researcher,researcher,
Graduate Researcher,Researcher - Graduate,
Researcher - Physician,Researcher - Physician,
Postdoctoral Researcher,Researcher - Post Doctoral,
Residence Don,Residential Services - Supervisor,
Residential Services Supervisor,Residential Services - Supervisor,
Registered Respiratory Therapist,Respiratory - Therapist,
Respiratory Therapist,Respiratory Therapist,
Server,Restaurant - Food Server,
host,Restaurant - Host/Hostess,
hostess,Restaurant - Host/Hostess,
Bar & Restaurant Owner,Restaurant & Bar Owner,
Restaurant operations manager,Restaurant Operations - Mgr,
restaurant mgr / student / and looking f,Restaurant Operations - Mgr,
Retail,Retail,
Retail / artist /writer,Retail,
retired,Retired,
retired/adjunct,Retired,
Sales,Sales,
Sales/ daycare worker,Sales,
Sales Expert,Sales,
Account Manager,Sales - Account Manager,
account planner,Sales - Account Planner,
Account Service Rep,Sales - Account Rep,
Client Relationship Assistant,Sales - Client Relationship Assistant,
Sales executive,Sales - Executive,
Regional Sales Manager,Sales - Manager,
sales manager,Sales - Manager,
RN - Medical Sales,Sales - medical,
Sales Rep,Sales - Rep,
Software Sales,Sales - Software,
VP Scientific Affairs / pharmaceutical c,Scientific Affairs - VP,
Scientist,Scientist,
rocket scientist,Scientist - Rocket,
Senate Page,Senate Page,
Service co-ordinator,Service Coordinator,
set designer,set designer,
set lighting technician,set lighting technician,
"Director,social Dvelopment",Social Development - Director,
Social Media consultant,Social Media consultant,
Social Policy Analyst,Social Policy Analyst,
Social Work Intern,Social Worker,
Social Worker,Social Worker,
Speaker Author Consultant,Speaker,
Speaker/Actor,Speaker,
Special Education Administrative Assista,Special Ed - Admin Asst.,
special education teacher,Special Ed - Teacher,
Speech and language Assistant,Speech and language Assistant,
Staff Writer at a magazine,Staff Writer,
Statistician,Statistician,
steamship agent,steamship agent,
stocker,stocker,
Doctoral Candidate!!! no wonder i'm doi,Student,
Early Childhood Education Student/ Nanny,Student,
full time student and part time bartende,Student,
Graduate student/University instructor,Student,
Graduate student--research and teaching,Student,
phd student researcher,Student,
school,student,
student,Student,
Student / working part-time,Student,
Student and Administrative Assistant,Student,
Student and part time secretary,Student,
Student and Private Curator,Student,
student childhood and youth studies,Student,
student fysiotherapy /home care / massage,Student,
Student part-time and sales full-time,Student,
student/barmaid,Student,
student/imvestor,Student,
student/retail,Student,
Student/Teacher,Student,
student/waiter,Student,
Studey,Student,
'Utterly shiftless arts student'... at p,Student,
Ornithology Graduate Student and Teachin,Student,
Surgeon,Surgeon,
Surgical Resident,Surgeon - resident,
federal excise tax auditor,Tax Auditor,
tax consultant,tax consultant,
Tax Examiner,Tax Examiner,
Academic,Teacher,
Asst. Pre-school Teacher,Teacher,
Computer Instructor (Continuing Educatio,Teacher,
Early child hood teacher,Teacher,
education,Teacher,
Educator/Student,Teacher,
EFL Teacher/ Professional Researcher,Teacher,
ESL Teacher/Biologist,Teacher,
Freelance ESL Teacher,Teacher,
teacher,Teacher,
teacher / Administrator,Teacher,
Teacher and Full Time Doctoral Student,Teacher,
Academic Assistant,Teaching Assistant,
Research/Teaching Assistant,Teaching Assistant,
Teacher assistant,Teaching Assistant,
teacher's assistant/afterschool leader,Teaching Assistant,
Teaching Assistant/Graduate student,Teaching Assistant,
Technical Coordinator,Technical Coordinator,
Technical director,Technical director,
Technical officer,Technical officer,
Technical Writer,Technical Writer,
Technology Curriculum Developer Science,Technology Curriculum Developer Science,
Telemarketer,Telemarketer,
television director,Television - Director,
Television Producer,Television - Producer,
TV News Executive Producer,Television - Producer,
TV BROADCAST TECHNICIAN,Television - technician,
Theater General Manager,Theater - GM,
Theater artist/ Teacher,Theater Artist,
energy therapist,Therapist - Energy,
Self-employed Family Therapist,Therapist - Family,
Tour Guide,Tour Guide,
Town Clerk,Town Clerk,
trader,Trader,
Software trainer,Training -  Software,
Training Coordinator,Training - Coordinator,
Technical Trainer,Training - Technical,
self-employed translator,Translator,
Translator,Translator,
interpreter,Translator / Interpreter,
treatment support co-ordinator,treatment support co-ordinator,
Tutor,Tutor,
Unemployed,Unemployed,
Vetrans Representative,Veterans Representative,
veterinarian,veterinarian,
Executive Vice President / Senior Lender,Vice President,
vice president,Vice President,
vice-president,Vice President,
vidoe,Videographer,
Volunteer Director,Volunteer - Director,
Shipping/receiving/warehouse mgnt,Warehousing,
warehouse,Warehousing,
Warehouse Supervisor,Warehousing,
Web Communications,Web Communications,
Web Designer,Web Designer,
Webmaster / Print Designer,Webmaster / Print Designer,
wig designer,wig designer,
Senior Staff Writer,Writer,
writer,Writer,
Writer & Director of Content Solutions,Writer,
Writer / eductor,Writer,
writer / lecturer / consultant,Writer,
Writer / web designer/ web-master,Writer,
Writer and management consultant,Writer,
writer/editor,Writer,
Writer/editor/musician,Writer,
writer/musician,Writer,
Writing Consultant,Writer,
Test Item Writer (Self-employed),Writer - Testing,
self-employed freelance writer/author,Writer/Author - Freelance,
Self-employed writer/editor,Writer/Author - Freelance,
yoga teacher,Yoga Instructor,
Activities Leader,,
airline,,
Analyst,,
associate,,
Associate Director,,
Associate Producer,,
asst,,
Box Office Representative,,
business,,
business manager,,
Capstone Golf Course,,
cataloguer / freelance artist,,
Chief of Staff,,
Civil servant,,
clerk,,
company director,,
Consulting Manager,,
Consumer Case Coordinator,,
Country Style Employee,,
CRNA,,
Dealer,,
Dental & Disability Coordinator,,
Deputy Chief of Public Information for t,,
Deputy Director,,
deputy practice manager,,
detail checker,,
director,,
Director of Software Company,,
Disability Allowance,,
Divisional Manager of a large cosmetics,,
employed by a church,,
EOD,,
Executive,,
Executive Assistant,,
Executive Director,,
Executive officer,,
Facilitator,,
Field Coordinator,,
Finance,,
flight surgeon,,
free professionist,,
Freelance,,
Gove service,,
Grease Monkey,,
ICT Director,,
Instructional Assistant Online,,
instructor / coach,,
intern,,
Internship,,
LPN,,
manager,,
md,,
na,,
Outdoor Recreation Coordinator,,
Paraprofessional,,
Partner,,
Postdoc,,
producer,,
quad racer,,
Science writing intern,,
Service Registrar/English Instructor,,
specialist,,
Supervisor,,
supervisor shelderd workshop for handcap,,
Temp,,
temporary office,,
trainee,,
VMD,,
